Year;Rank;School;Location;VCE_Studies;VCE_Stsnts;VCE_Compl_%;Median_VCE_Score;VCE_40+_%;VCEs_40+;VCEs_48+;VCEs_50;Stdnts_40+;Stdnts_48+;Stdnts_50
2022;339;Marist Sion College;Warragul;46;156;96;29;5,1;21;1;1;13;1;1
2022;340;Mary MacKillop Catholic College;Leongatha;36;109;94;30;8,8;22;1;0;12;1;0
2022;341;Maryborough Education Centre;Maryborough;42;84;94;26;0;0;0;0;0;0;0
2022;342;Marymede Catholic College;South Morang;52;199;100;30;4,5;23;1;0;14;1;0
2022;343;Mater Christi College;Belgrave;52;158;99;31;6,8;27;2;0;24;2;0
2022;344;Matthew Flinders Girls Secondary College;Geelong;50;123;97;28;2,9;8;0;0;6;0;0
2022;345;Mazenod College;Mulgrave;50;389;99;32;11,5;112;8;1;79;6;1
2022;346;MBCTA Youth Theatre;Boronia;;;;;;1;0;0;1;0;0
2022;347;McClelland Secondary College;Frankston;42;121;100;30;4,8;9;0;0;7;0;0
2022;348;McKinnon Secondary College;McKinnon;57;632;99;33;15;260;19;5;158;18;5
2022;349;Meisha Academy Guangzhou;Guangzhou, China;;;;;;1;0;0;1;0;0
2022;350;Melba Secondary College;Croydon;33;82;100;27;3,5;2;0;0;2;0;0
2022;351;Melbourne Girls College;Richmond;59;441;99;32;10,5;135;9;3;79;9;3
2022;352;Melbourne Girls Grammar;South Yarra;43;238;100;34;18,7;132;12;4;72;12;4
2022;353;Melbourne Grammar School;Melbourne;41;377;100;35;25,8;295;30;11;164;23;10
2022;354;Melbourne High School;South Yarra;49;688;100;36;27;384;34;12;232;28;12
2022;355;Melbourne International School of Japanese;Oakleigh South;;;;;;10;1;0;10;1;0
2022;356;Melbourne Polytechnic;Preston;7;11;0;0;0;0;0;0;0;0;0
2022;357;Melbourne Rudolf Steiner School;Warranwood;19;36;96;31;8,4;4;0;0;3;0;0
2022;358;Melbourne Swedish Community School Association;Toorak;;;;;;3;0;0;3;0;0
2022;359;Melton Christian College;Brookfield;30;85;98;26;0,5;0;0;0;0;0;0
2022;360;Melton Secondary College;Melton;44;148;97;27;1,1;0;0;0;0;0;0
2022;361;Mentone Girls Grammar School;Mentone;35;145;100;35;21,2;83;8;3;54;7;3
2022;362;Mentone Girls Secondary College;Mentone;39;311;99;30;7,8;63;5;2;43;3;2
2022;363;Mentone Grammar School;Mentone;56;323;100;34;20,9;190;20;8;115;16;8
2022;364;Mercy College;Coburg;32;92;96;29;4,9;9;0;0;7;0;0
2022;365;Mercy Regional College;Camperdown;28;91;100;25;0,5;1;0;0;1;0;0
2022;366;Mernda Central P-12 College;Mernda;39;117;100;25;1,1;3;1;0;3;1;0
2022;367;Methodist Ladies College;Kew;46;389;100;34;22,6;259;31;15;143;25;13
2022;368;Mildura Senior College;Mildura;62;460;97;27;2,2;19;2;0;13;2;0
2022;369;Mill Park Secondary College;Epping;54;309;95;25;1,3;10;0;0;8;0;0
2022;370;Minaret College Officer;Officer;19;96;98;27;1,3;1;0;0;1;0;0
2022;371;Minaret College Springvale;Springvale;23;165;100;27;4;5;0;0;2;0;0
2022;372;Mirboo North Secondary College;Mirboo North;37;81;96;24;3,5;5;0;0;3;0;0
2022;373;Monbulk College;Monbulk;37;122;94;25;1,3;4;0;0;3;0;0
2022;374;Monivae College;Hamilton;33;154;100;28;3,2;10;0;0;9;0;0
2022;375;Monterey Secondary College;Frankston North;19;54;100;24;0;0;0;0;0;0;0
2022;376;Montmorency Secondary College;Montmorency;41;231;100;28;4,3;28;2;1;24;2;1
2022;377;Mooroolbark College;Mooroolbark;45;207;99;29;3,9;17;2;0;16;1;0
2022;378;Mordialloc College;Mordialloc;43;198;98;30;5,2;25;3;1;15;2;1
2022;379;Mornington Secondary College;Mornington;59;288;99;28;3,9;19;2;2;15;1;1
2022;380;Mortlake College;Mortlake;16;14;100;31;2,9;1;0;0;1;0;0
2022;381;Mount Alexander 7-12 College;Flemington;31;82;89;29;5;10;0;0;7;0;0
2022;382;Mount Beauty Secondary College;Mount Beauty;22;42;100;27;2,6;1;0;0;1;0;0
2022;383;Mount Clear College;Mount Clear;55;153;97;28;2,3;4;0;0;3;0;0
2022;384;Mount Eliza Secondary College;Mount Eliza;44;120;100;29;5,4;16;0;0;10;0;0
2022;385;Mount Erin College;Frankston South;49;132;96;26;1,3;4;0;0;3;0;0
2022;386;Mount Evelyn Christian School;Mount Evelyn;32;97;100;29;3,9;5;0;0;4;0;0
2022;387;Mount Hira College;Keysborough;21;60;100;29;2,3;2;0;0;2;0;0
2022;388;Mount Lilydale Mercy College;Lilydale;61;341;99;29;3,9;26;1;0;20;1;0
2022;389;Mount Ridley P-12 College;Craigieburn;47;318;95;23;0,6;5;0;0;5;0;0
2022;390;Mount Rowan Secondary College;Wendouree;32;39;87;26;5,8;3;1;1;1;1;1
2022;391;Mount Scopus Memorial College;Burwood;34;215;100;37;31,4;50;5;5;30;4;4
2022;392;Mount St Joseph Girls College;Altona;45;190;100;30;5,8;35;0;0;24;0;0
2022;393;Mount Waverley Secondary College;Mount Waverley;53;402;99;30;6,7;84;5;2;53;4;2
2022;394;Mountain District Christian School;Monbulk;17;22;100;29;4,7;2;0;0;1;0;0
2022;395;Mountain District Community College;Ferntree Gully;6;0;0;0;0;0;0;0;0;0;0
2022;396;Mullauna College;Mitcham;25;79;95;30;9,6;3;0;0;2;0;0
2022;397;Murrayville Community College;Murrayville;14;15;100;21;0;0;0;0;0;0;0
2022;398;Murtoa P-12 College;Murtoa;14;24;94;24;1,2;1;0;0;1;0;0
2022;399;Myrtleford P-12 College;Myrtleford;19;27;100;29;2,3;2;0;0;2;0;0
2022;400;Nagle College;Bairnsdale;39;155;100;28;2,1;10;2;2;6;1;1
2022;401;Narre Warren South P-12 College;Narre Warren South;49;310;96;30;1,1;5;0;0;5;0;0
2022;402;Nathalia Secondary College;Nathalia;16;21;100;31;12,5;4;1;0;3;1;0
2022;403;Nazareth College;Noble Park North;51;145;99;28;5,6;13;2;1;9;2;1
2022;404;Neerim District Secondary College;Neerim South;19;18;100;23;3,8;1;0;0;1;0;0
2022;405;Nestoras College Doncaster;Doncaster;;;;;;1;1;0;1;1;0
2022;406;New Century Chinese Language School;Burwood East;;;;;;4;0;0;4;0;0
2022;407;New Chinese Language and Culture School Thornbury;Thornbury;;;;;;5;0;0;5;0;0
