Year;Rank;School;Location;Median_VCE_Score
2012;436;Princes Hill Secondary College;Princes Hill;32
2012;437;Protypo Greek Bilingual Education Centre;Oakleigh;N/A
2012;438;Pythagoras Greek School;Brighton;N/A
2012;439;Rainbow P-12 College;Rainbow;31
2012;440;Red Cliffs Secondary College;Red Cliffs;25
2012;441;Reservoir High School;Reservoir;27
2012;442;Ringwood Secondary College;Ringwood;31
2012;443;RMIT TAFE;Melbourne;27
2012;444;Robinvale College;Robinvale;27
2012;445;Rochester Secondary College;Rochester;27
2012;446;Rosebud Secondary College;Rosebud;29
2012;447;Rosehill Secondary College;Niddrie;28
2012;448;Rowville Secondary College;Rowville;27
2012;449;Roxburgh College;Roxburgh Park;24
2012;450;Rushworth P-12 College;Rushworth;25
2012;451;Rutherglen High School;Rutherglen;27
2012;452;Ruyton Girls School;Kew;37
2012;453;Sacre Coeur;Glen Iris;36
2012;454;Sacred Heart College Geelong;Newtown;33
2012;455;Sacred Heart College Kyneton;Kyneton;29
2012;456;Sacred Heart College Yarrawonga;Yarrawonga;29
2012;457;Sacred Heart Girls College;Hughesdale;33
2012;458;Saint Catherines Greek School;Malvern East;N/A
2012;459;Saint Ignatius College;Drysdale;30
2012;460;Sale College;Sale;29
2012;461;Salesian College Chadstone;Chadstone;30
2012;462;Salesian College Sunbury;Sunbury;30
2012;463;Sandringham College;Sandringham;29
2012;464;Santa Maria College;Northcote;31
2012;465;Scoresby Secondary College;Scoresby;25
2012;466;Scotch College;Hawthorn;36
2012;467;SEDA College;Hawthorn East;0
2012;468;Serbian Ethnic School Vuk Karadzic;St Albans;N/A
2012;469;Seymour College;Seymour;24
2012;470;Shelford Girls Grammar;Caulfield;35
2012;471;Shepparton Adult and Community Education;Shepparton;0
2012;472;Shepparton Christian College;Shepparton;31
2012;473;Shepparton High School;Shepparton;27
2012;474;Sherbrooke Community School;Sassafras;24
2012;475;Siena College;Camberwell;34
2012;476;Simonds Catholic College;Fitzroy North;30
2012;477;Sirius College Broadmeadows Campus;Broadmeadows;30
2012;478;Sirius College Dandenong Campus;Keysborough;28
2012;479;Sirius College Meadow Fair Campus;Broadmeadows;28
2012;480;Skillsplus;Frankston;0
2012;481;Somerville Secondary College;Somerville;26
2012;482;South Coast Christian College;Leongatha;25
2012;483;South Gippsland Secondary College;Foster;28
2012;484;South Oakleigh Secondary College;Oakleigh South;27
2012;485;South West Institute of TAFE;Warrnambool;20
2012;486;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2012;487;St Albans Secondary College;St Albans;29
2012;488;St Aloysius College;North Melbourne;31
2012;489;St Andrews Christian College;Wantirna South;30
2012;490;St Anthonys Coptic Orthodox College;Frankston North;26
2012;491;St Arnaud Secondary College;St Arnaud;27
2012;492;St Augustines College;Kyabram;29
2012;493;St Bedes College;Mentone;31
2012;494;St Bernards College;Essendon;32
2012;495;St Brigids College;Horsham;30
2012;496;St Catherines School;Toorak;35
2012;497;St Columbas College;Essendon;33
2012;498;St Francis Xavier College;Beaconsfield;30
2012;499;St Helena Secondary College;Eltham North;30
2012;500;St Johns Greek Orthodox College;Preston;25
2012;501;St Johns Greek Orthodox College Saturday School;Preston;N/A
2012;502;St Johns Regional College;Dandenong;28
2012;503;St Josephs College Echuca;Echuca;27
2012;504;St Josephs College Ferntree Gully;Ferntree Gully;30
2012;505;St Josephs College Geelong;Newtown;32
2012;506;St Josephs College Mildura;Mildura;28
2012;507;St Kevins College;Toorak;36
2012;508;St Leonards College;Brighton East;34
2012;509;St Margarets Berwick Grammar Berwick Campus;Berwick;34
2012;510;St Mary MacKillop College;Swan Hill;30
2012;511;St Mary of the Angels College;Nathalia;28
2012;512;St Marys Coptic Orthodox College;Coolaroo;26
2012;513;St Michaels Grammar School;St Kilda;34
2012;514;St Monicas College;Epping;30
2012;515;St Patricks College;Ballarat;30
2012;516;St Pauls Anglican Grammar School;Warragul;32
2012;517;St Peters College;Cranbourne;27
2012;518;St Thomas Aquinas College;Tynong;28
2012;519;Star of the Sea College;Brighton;33
2012;520;Staughton College;Melton South;24
2012;521;Stawell Secondary College;Stawell;26
2012;522;Stonnington School of Dance;Murrumbeena;N/A
2012;523;Stotts Colleges Melbourne;Melbourne;24
2012;524;Strathcona Girls Grammar School;Canterbury;37
2012;525;Strathmore Secondary College;Strathmore;32
2012;526;Studio D;Mount Waverley;N/A
2012;527;Sunbury College;Sunbury;26
2012;528;Sunbury Downs Secondary College;Sunbury;26
2012;529;Sunraysia Institute of TAFE;Mildura;0
2012;530;Sunshine College;Sunshine West;28
2012;531;Suzanne Cory High School;Werribee;32
2012;532;Swan Hill College;Swan Hill;27
2012;533;Swifts Creek P-12 School;Swifts Creek;27
2012;534;Swinburne Senior Secondary College;Hawthorn;27
2012;535;Swinburne University of Technology TAFE Croydon;Croydon;0
2012;536;Sydney Road Community School;Brunswick;20
2012;537;Tallangatta Secondary College;Tallangatta;28
2012;538;Taylors College;Melbourne;27
2012;539;Taylors Lakes Secondary College;Taylors Lakes;27
2012;540;Templestowe College;Templestowe Lower;26
2012;541;Terang College Secondary Campus;Terang;29
2012;542;The Centre;Wangaratta;0
2012;543;The Geelong College;Newtown;34
2012;544;The Grange P-12 College;Hoppers Crossing;26
2012;545;The Hamilton and Alexandra College;Hamilton;34
2012;546;The King David School;Armadale;36
2012;547;The Knox School;Wantirna South;33
2012;548;The Pushkin Lyceum Russian Community School;Elwood;N/A
2012;549;Theatre De La Danse;Brighton;N/A
2012;550;Thomas Carr College;Tarneit;27
2012;551;Thomas Carr College Wenzhou No 21 Middle School;Wenzhou, China;N/A
2012;552;Thomastown Secondary College;Thomastown;25
2012;553;Thornbury High School;Thornbury;27
2012;554;Timboon P-12 School;Timboon;28
2012;555;Tintern Schools Senior College;Ringwood East;32
2012;556;Toorak College;Mount Eliza;34
2012;557;Trafalgar High School;Trafalgar;28
2012;558;Traralgon College;Traralgon;26
2012;559;Trinity College;Colac;30
2012;560;Trinity Grammar School;Kew;34
2012;561;Tyrrell College;Sea Lake;23
2012;562;Ukrainian Community School;Noble Park;N/A
2012;563;University High School;Parkville;33
2012;564;University of Ballarat;Ballarat;0
2012;565;Upper Yarra Secondary College;Yarra Junction;26
2012;566;Upwey High School;Upwey;28
2012;567;Van Khoa Vietnamese Language School South Yarra;South Yarra;N/A
2012;568;Vermont Secondary College;Vermont;32
2012;569;Victoria International School of Sharjah;Sharjah, UAE;N/A
2012;570;Victoria University of Technology TAFE Footscray;Footscray;20
2012;571;Victoria University of Technology TAFE Sunshine;Sunshine;0
2012;572;Victoria University Secondary College Brimbank Campus;St Albans;25
2012;573;Victoria University Secondary College Deer Park Campus;Deer Park;24
2012;574;Victorian College for the Deaf;Melbourne;34
2012;575;Victorian College of the Arts Secondary School;Southbank;34
2012;576;Victorian Dance Academy;Mitcham;N/A
2012;577;Victory Lutheran College;Wodonga;29
2012;578;Viewbank College;Viewbank;31
