Year;Rank;School;Location;Median_VCE_Score
2020;625;Wodonga Senior Secondary College;Wodonga;23
2020;626;Wonthaggi Secondary College;Wonthaggi;27
2020;627;Woodleigh School;Langwarrin South;33
2020;628;Woodmans Hill Secondary College;Ballarat East;24
2020;629;Wycheproof P-12 College;Wycheproof;28
2020;630;Wyndham Central Secondary College;Werribee;24
2020;631;Wyndham Community and Education Centre;Werribee;0
2020;632;Xavier College;Kew;34
2020;633;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2020;634;Yarra Hills Secondary College Mooroolbark;Mooroolbark;25
2020;635;Yarra Valley Grammar School;Ringwood;34
2020;636;Yarram Secondary College;Yarram;25
2020;637;Yarrawonga College P-12;Yarrawonga;28
2020;638;Yea High School;Yea;26
2020;639;Yeshivah College;St Kilda East;34
2020;640;Yesodei Hatorah College Secondary Campus;Ormond;33
2020;641;Yuille Park Community College;Wendouree;0
2021;1;Academy of Mary Immaculate;Fitzroy;30
2021;2;Adass Israel School Elsternwick;Elsternwick;0
2021;3;Adass Israel School St Kilda East;St Kilda East;0
2021;4;Advance College of Education;Rosebud;0
2021;5;Aitken College;Greenvale;28
2021;6;Al Iman College;Melton South;26
2021;7;Al Siraat College;Epping;30
2021;8;Al-Taqwa College Islamic Schools of Vic;Truganina;26
2021;9;Albert Park College;Albert Park;30
2021;10;Albury Wodonga Community College;Wodonga;0
2021;11;Alexandra Secondary College;Alexandra;26
2021;12;Alia College;Hawthorn East;24
2021;13;Alice Miller School Macedon;Macedon;35
2021;14;Alkira Secondary College;Cranbourne North;29
2021;15;Alphington Grammar School;Alphington;31
2021;16;Altona College;Altona;31
2021;17;Antonine College Senior Campus;Pascoe Vale South;28
2021;18;Apollo Bay P-12 College;Apollo Bay;33
2021;19;Aquinas College;Ringwood;31
2021;20;Ararat College;Ararat;25
2021;21;Armenian Aginian School Surrey Hills;Surrey Hills;N/A
2021;22;Armstrong Creek School;Armstrong Creek;0
2021;23;Ashwood High School;Ashwood;33
2021;24;Assumption College;Kilmore;28
2021;25;Auburn High School;Hawthorn East;31
2021;26;Australian International Academy Caroline Springs;Caroline Springs;26
2021;27;Australian International Academy Coburg;North Coburg;24
2021;28;Austurk Saturday Turkish School;Gladstone Park;N/A
2021;29;Ave Maria College;Aberfeldie;31
2021;30;Avila College;Mount Waverley;32
2021;31;Bacchus Marsh College;Bacchus Marsh;25
2021;32;Bacchus Marsh Grammar;Bacchus Marsh;31
2021;33;Baimbridge College;Hamilton;24
2021;34;Bairnsdale Secondary College;Bairnsdale;26
2021;35;Balcombe Grammar School;Mount Martha;32
2021;36;Ballarat Christian College;Sebastopol;22
2021;37;Ballarat Clarendon College;Ballarat;37
2021;38;Ballarat Grammar School;Wendouree;32
2021;39;Ballarat High School;Ballarat;28
2021;40;Balmoral Community College;Balmoral;0
2021;41;Balwyn High School;Balwyn North;32
2021;42;Bannockburn P-12 College;Bannockburn;30
2021;43;Bayside Christian College;Langwarrin South;30
2021;44;Bayside College Paisley Campus;Newport;30
2021;45;Bayswater Secondary College;Bayswater;26
2021;46;Bayview College;Portland;28
2021;47;Beaconhills College Berwick;Berwick;29
2021;48;Beaconhills College Pakenham;Pakenham;30
2021;49;Beaufort Secondary College;Beaufort;28
2021;50;Beechworth Secondary College;Beechworth;29
2021;201;Gilson College Taylors Hill;Taylors Hill;29
2021;202;Gippsland Grammar;Sale;31
2021;203;Girton Grammar School;Bendigo;33
2021;204;Gisborne Secondary College;Gisborne;28
2021;205;Gladstone Park Secondary College;Gladstone Park;28
2021;206;Glen Eira College;Caulfield East;31
2021;207;Glen Waverley Secondary College;Glen Waverley;32
2021;208;Gleneagles Secondary College;Endeavour Hills;28
2021;209;Glenroy Neighbourhood Centre;Glenroy;0
2021;210;Glenroy Secondary College;Glenroy;23
2021;211;Good News Lutheran College;Tarneit;28
2021;212;Good Shepherd College;Hamilton;27
2021;213;Gordon Institute of TAFE;Geelong;27
2021;214;Goroke P-12 College;Goroke;0
2021;215;Goulburn Ovens Institute of TAFE;Shepparton;0
2021;216;Goulburn Valley Grammar School;Shepparton;34
2021;217;Greater Shepparton Secondary College McGuire Campus;Shepparton;24
2021;218;Greater Shepparton Secondary College Wanganui Campus;Shepparton;24
2021;219;Greek Orthodox Community of Melbourne and Victoria;Melbourne;N/A
2021;220;Greensborough Secondary College;Greensborough;26
2021;221;Grovedale College;Grovedale;24
2021;222;Haileybury Albert Einstein School;Ho Chi Minh City, Vietnam;N/A
2021;223;Haileybury College;Keysborough;35
2021;224;Haileybury College Tianjin Campus;Tianjin, China;N/A
2021;225;Haileybury Dili International School;Dili, Timor-Leste;N/A
2021;226;Haileybury Girls College;Keysborough;37
2021;227;Haileybury Ningbo Li Hui Li High School;Ningbo, China;N/A
2021;228;Haileybury Rendall School;Berrimah, NT;31
2021;229;Haileybury Wuhan Foreign Language School;Wuhan, China;N/A
2021;230;Hallam Secondary College;Hallam;23
2021;231;Hampton Park Secondary College;Hampton Park;27
2021;232;Hawkesdale College;Hawkesdale;28
2021;233;Hazel Glen College;Doreen;27
2021;234;Healesville High School;Healesville;27
2021;235;Heathdale Christian College;Werribee;29
2021;236;Heatherton Christian College;Clarinda;29
2021;237;Heathmont College;Heathmont;26
2021;238;Heritage College Officer;Officer;30
2021;239;Hester Hornbrook Academy;Melbourne;0
2021;240;Heywood and District Secondary College;Heywood;26
2021;241;Highvale Secondary College;Glen Waverley;30
2021;242;Highview Christian Community College;Maryborough;28
2021;243;Hillcrest Christian College;Clyde North;31
2021;244;Hispanoamerican School of Springvale;Noble Park;N/A
2021;245;Holmes Grammar School;Melbourne;30
2021;246;Holmesglen Institute of TAFE Moorabbin;Moorabbin;0
2021;247;Holy Trinity Lutheran College;Horsham;30
2021;248;Homestead Senior Secondary College;Point Cook;29
2021;249;Hopetoun P-12 College;Hopetoun;30
2021;250;Hoppers Crossing Secondary College;Hoppers Crossing;28
2021;251;Horsham College;Horsham;30
2021;252;Hume Anglican Grammar;Mickleham;30
2021;253;Hume Central Secondary College Town Park;Broadmeadows;27
2021;254;Huntingtower School;Mount Waverley;37
2021;255;Ilim College Kiewa Campus Dallas;Dallas;27
2021;256;Ilim College of Australia;Broadmeadows;28
2021;257;Independent Dance Studios;Hallam;N/A
2021;258;Iranian Cultural School;Doncaster East;N/A
2021;259;Islamic College of Melbourne;Tarneit;31
2021;260;Ivanhoe Girls Grammar School;Ivanhoe;35
2021;261;Ivanhoe Grammar School Plenty;Doreen;33
2021;262;Ivanhoe Grammar School Ridgeway;Ivanhoe;32
2021;263;John Fawkner College;Fawkner;20
2021;264;John Monash Science School;Clayton;35
2021;265;John Paul College;Frankston;29
2021;266;Kambrya College;Berwick;31
2021;267;Kangan Institute of TAFE;Broadmeadows;0
2021;268;Kaniva P-12 College;Kaniva;29
2021;269;Kardinia International College;Bell Post Hill;32
2021;270;Keilor Downs College;Keilor Downs;28
2021;271;Kensington Community High School;Kensington;0
2021;272;Kerang Christian College;Kerang;27
2021;273;Kerang Technical High School;Kerang;30
2021;274;Kew High School;Kew East;30
2021;275;Keysborough Secondary College Acacia;Keysborough;28
2021;276;Keysborough Secondary College Banksia;Springvale South;27
2021;277;Kilbreda College;Mentone;31
2021;278;Killester College;Springvale;30
2021;279;Kilvington Grammar School;Ormond;34
2021;280;Kings College;Warrnambool;30
2021;281;Kingswood College;Box Hill;32
2021;282;Kolbe Catholic College;Greenvale Lakes;26
2021;283;Koo Wee Rup Secondary College;Koo Wee Rup;26
2021;284;Koonung Secondary College;Mont Albert North;32
2021;285;Korean Language School of Melbourne;Prahran;N/A
2021;286;Korowa Anglican Girls School;Glen Iris;36
2021;287;Korumburra Secondary College;Korumburra;26
2021;288;Kurnai College Churchill Campus;Churchill;28
2021;289;Kurnai College University Campus;Churchill;N/A
2021;290;Kurunjang Secondary College;Melton;26
2021;291;Kyabram Secondary College;Kyabram;29
2021;292;Kyneton High School;Kyneton;26
2021;293;Lake Bolac College;Lake Bolac;24
2021;294;Lakes Entrance Secondary College;Lakes Entrance;26
2021;295;Lakeside Lutheran College;Pakenham;27
2021;296;Lakeview Senior College;Caroline Springs;27
2021;297;Lalor North Secondary College;Epping;25
2021;298;Lalor Secondary College;Lalor;28
2021;299;Lara Secondary College;Lara;24
2021;300;Lauriston Girls School;Armadale;36
2021;301;Lavalla Catholic College;Traralgon;28
2021;302;Lavers Hill K-12 College;Lavers Hill;0
2021;303;Laverton P-12 College;Laverton;22
2021;304;Leibler Yavneh College;Elsternwick;37
2021;305;Leongatha Secondary College;Leongatha;27
2021;306;Lighthouse Christian College;Keysborough;30
2021;307;Lighthouse Christian College Cranbourne;Cranbourne;31
2021;308;Lilydale Heights College;Lilydale;23
2021;309;Lilydale High School;Lilydale;27
2021;310;Little Yarra Steiner School;Yarra Junction;32
2021;311;Loreto College;Ballarat;31
2021;312;Loreto Mandeville Hall;Toorak;35
2021;313;Lorne P-12 College;Lorne;27
2021;314;Lowanna College;Newborough;25
2021;315;Lowther Hall Anglican Grammar School;Essendon;35
2021;316;Loyola College;Watsonia;30
2021;317;Luther College;Croydon Hills;32
2021;318;Lynall Hall Community School;Richmond;0
2021;319;Lyndale Secondary College;Dandenong North;28
2021;320;Lyndhurst Secondary College;Cranbourne;28
2021;321;MacKillop Catholic Regional College;Werribee;30
2021;322;Macleod College;Macleod;26
2021;323;Macrobertson Girls High School;Melbourne;37
2021;324;Maffra Secondary College;Maffra;28
2021;325;Mallacoota P-12 College;Mallacoota;31
2021;326;Manangatang P-12 College;Manangatang;0
2021;327;Manor Lakes P-12 College;Wyndham Vale;23
2021;328;Mansfield Secondary College;Mansfield;29
2021;329;Maranatha Christian School;Endeavour Hills;32
2021;330;Marcellin College;Bulleen;30
2021;331;Marian College Ararat;Ararat;27
2021;332;Marian College Myrtleford;Myrtleford;28
2021;333;Marian College Sunshine West;Sunshine West;29
2021;334;Maribyrnong Secondary College;Maribyrnong;29
2021;335;Marist College Bendigo;Maiden Gully;27
2021;336;Marist Sion College;Warragul;29
2021;337;Mary MacKillop Catholic College;Leongatha;29
2021;338;Maryborough Education Centre;Maryborough;26
2021;339;Marymede Catholic College;South Morang;30
2021;340;Mater Christi College;Belgrave;32
2021;341;Matthew Flinders Girls Secondary College;Geelong;28
2021;342;Mazenod College;Mulgrave;32
2021;343;McClelland Secondary College;Frankston;29
2021;344;McKinnon Secondary College;McKinnon;32
2021;345;Meisha Academy Guangzhou;Guangzhou, China;N/A
2021;346;Melba Secondary College;Croydon;27
2021;347;Melbourne Girls College;Richmond;33
2021;348;Melbourne Girls Grammar;South Yarra;34
2021;349;Melbourne Grammar School;Melbourne;35
2021;350;Melbourne High School;South Yarra;36
2021;351;Melbourne International School of Japanese;Oakleigh South;N/A
2021;352;Melbourne Montessori School Senior Campus;Brighton East;0
2021;353;Melbourne Polytechnic;Preston;0
2021;354;Melbourne Rudolf Steiner School;Warranwood;32
2021;355;Melbourne Swedish Community School Association;Toorak;N/A
2021;356;Melton Christian College;Brookfield;26
2021;357;Melton Secondary College;Melton;27
2021;358;Mentone Girls Grammar School;Mentone;34
2021;359;Mentone Girls Secondary College;Mentone;30
2021;360;Mentone Grammar School;Mentone;34
2021;361;Mercy College;Coburg;29
2021;362;Mercy Regional College;Camperdown;27
2021;363;Merinda Park Learning Centre;Cranbourne North;0
2021;364;Mernda Central P-12 College;Mernda;33
2021;365;Methodist Ladies College;Kew;36
2021;366;Mildura Senior College;Mildura;26
2021;367;Mill Park Secondary College;Epping;24
2021;368;Minaret College Officer;Officer;26
2021;369;Minaret College Springvale;Springvale;28
2021;370;Mirboo North Secondary College;Mirboo North;28
2021;371;Monbulk College;Monbulk;27
2021;372;Monivae College;Hamilton;28
2021;373;Monterey Secondary College;Frankston North;28
2021;374;Montmorency Secondary College;Montmorency;29
2021;375;Mooroolbark College;Mooroolbark;28
2021;376;Mordialloc College;Mordialloc;28
2021;377;Mornington Secondary College;Mornington;28
2021;378;Mortlake College;Mortlake;32
2021;379;Mount Alexander 7-12 College;Flemington;28
2021;380;Mount Beauty Secondary College;Mount Beauty;26
2021;381;Mount Clear College;Mount Clear;27
2021;382;Mount Eliza Secondary College;Mount Eliza;30
2021;383;Mount Erin College;Frankston South;27
2021;384;Mount Evelyn Christian School;Mount Evelyn;28
2021;385;Mount Hira College;Keysborough;31
2021;386;Mount Lilydale Mercy College;Lilydale;30
2021;387;Mount Martha School of Dance;Mount Martha;N/A
2021;388;Mount Ridley P-12 College;Craigieburn;25
2021;389;Mount Rowan Secondary College;Wendouree;29
2021;390;Mount Scopus Memorial College;Burwood;36
2021;391;Mount St Joseph Girls College;Altona;31
2021;392;Mount Waverley Secondary College;Mount Waverley;30
2021;393;Mountain District Christian School;Monbulk;27
2021;394;Mountain District Learning Centre;Ferntree Gully;0
2021;395;Mullauna College;Mitcham;29
2021;396;Murrayville Community College;Murrayville;28
2021;397;Murtoa P-12 College;Murtoa;28
2021;398;Myrtleford P-12 College;Myrtleford;28
2021;399;Nagle College;Bairnsdale;28
2021;400;Narre Warren South P-12 College;Narre Warren South;32
2021;401;Nathalia Secondary College;Nathalia;25
2021;402;Nazareth College;Noble Park North;30
2021;403;Neerim District Secondary College;Neerim South;25
2021;404;Nestoras College Doncaster;Doncaster;N/A
2021;405;New Chinese Language and Culture School Thornbury;Thornbury;N/A
2021;406;Newcomb Secondary College;Newcomb;27
2021;407;Newhaven College;Rhyll;31
2021;408;Nhill College;Nhill;27
2021;409;Noble Park Secondary College;Noble Park;28
2021;410;North Geelong Secondary College;Geelong North;27
2021;411;Northcote High School;Northcote;31
2021;412;Northern Bay P-12 College;Corio;23
2021;413;Northern College of Arts and Technology;Preston;28
2021;414;Northside Christian College;Bundoora;30
2021;415;Norwood Secondary College;Ringwood;28
2021;416;Nossal High School;Berwick;36
2021;417;Notre Dame College;Shepparton;26
2021;418;Numurkah Secondary College;Numurkah;27
2021;419;Nunawading Christian College;Nunawading;31
2021;420;Oakleigh Grammar;Oakleigh;29
2021;421;Oakwood School;Caulfield North;0
2021;422;Oberon High School;Armstrong Creek;30
2021;423;Officer Secondary College;Officer;26
2021;424;Omiros College Pascoe Vale South;Pascoe Vale South;N/A
2021;425;OneSchool Global Vic;Melton West;32
2021;426;Orbost Secondary College;Orbost;27
2021;427;Our Lady of Mercy College;Heidelberg;32
2021;428;Our Lady of Sacred Heart College;Bentleigh;31
2021;429;Our Lady of Sion College;Box Hill;32
2021;430;Ouyen Secondary College;Ouyen;27
2021;431;Overnewton Anglican College;Keilor;30
2021;432;Oxley Christian College;Chirnside Park;32
2021;433;Ozford College;Melbourne;19
2021;434;Padua College;Mornington;29
2021;435;Pakenham Secondary College;Pakenham;26
2021;436;Parade College;Bundoora;30
2021;437;Parkdale Secondary College;Mordialloc;30
2021;438;Parkville College;Parkville;0
2021;439;Pascoe Vale Girls Secondary College;Pascoe Vale;27
2021;440;Patterson River Secondary College;Seaford;26
2021;441;Peninsula Grammar;Mount Eliza;33
2021;442;Peninsula Grammar Heze No 1 Middle School;Shandong, China;N/A
2021;443;Peninsula Grammar Nanjing Experimental School;Nanjing, China;N/A
2021;444;Peninsula Grammar Pudong Foreign Language School;Shanghai, China;N/A
2021;445;Peninsula Grammar Taixing No 1 Senior High School;Taixing, China;N/A
2021;446;Peninsula Grammar Zhengzhou Foreign Language School;Zhengzhou, China;N/A
2021;447;Peninsula International School Australia Malaysia Campus;Selangor, Malaysia;N/A
2021;448;Penleigh and Essendon Grammar School;Keilor East;34
2021;449;Penola Catholic College;Broadmeadows;26
2021;450;Peter Lalor Secondary College;Lalor;0
2021;451;Phoenix P-12 Community College;Sebastopol;27
2021;452;Pines Learning;Doncaster East;0
2021;453;Plenty Valley Christian College;Doreen;29
2021;454;Point Cook Senior Secondary College;Point Cook;27
2021;455;Portland Secondary College;Portland;25
2021;456;Prahran Community Learning Centre;Prahran;0
2021;457;Presbyterian Ladies College;Burwood;36
2021;458;Preston Reservoir Adult Community Education;Reservoir;0
2021;459;Princes Hill Secondary College;Princes Hill;32
2021;460;Pythagoras Greek School;Brighton;N/A
2021;461;Rainbow P-12 College;Rainbow;27
2021;462;Red Cliffs Secondary College;Red Cliffs;25
2021;463;Red Rock Christian College;Sunbury;29
2021;464;Reservoir High School;Reservoir;28
2021;465;Ringwood Secondary College;Ringwood;30
2021;466;River Nile School;North Melbourne;0
2021;467;RMIT TAFE;Melbourne;26
2021;468;Robinvale College;Robinvale;27
2021;469;Rochester Secondary College;Rochester;28
2021;470;Rosebud Secondary College;Rosebud;28
2021;471;Rosehill Secondary College;Niddrie;29
2021;472;Rowville Secondary College;Rowville;26
2021;473;Roxburgh College;Roxburgh Park;25
2021;474;Rushworth P-12 College;Rushworth;25
2021;475;Rutherglen High School;Rutherglen;24
2021;476;Ruyton Girls School;Kew;36
2021;477;Sacre Coeur;Glen Iris;35
2021;478;Sacred Heart College Geelong;Newtown;32
2021;479;Sacred Heart College Kyneton;Kyneton;30
2021;480;Sacred Heart College Yarrawonga;Yarrawonga;29
2021;481;Sacred Heart Girls College;Hughesdale;32
2021;482;Saint Ignatius College;Drysdale;31
2021;483;Sale College;Sale;26
2021;484;Salesian College Chadstone;Chadstone;31
2021;485;Salesian College Sunbury;Sunbury;28
2021;486;Sandringham College;Sandringham;30
2021;487;Santa Maria College;Northcote;32
2021;488;Scoresby Secondary College;Scoresby;27
2021;489;Scotch College;Hawthorn;34
2021;490;SEDA College;Hawthorn East;0
2021;491;Serbian Ethnic School Vuk Karadzic;St Albans;N/A
2021;492;Seymour College;Seymour;27
2021;493;Shelford Girls Grammar;Caulfield;35
2021;494;Shepparton Adult and Community Education;Shepparton;0
2021;495;Shepparton Christian College;Shepparton;29
2021;496;Sherbrooke Community School;Sassafras;30
2021;497;Sholem Aleichem College;Elsternwick;N/A
2021;498;Siena College;Camberwell;34
2021;499;Simonds Catholic College;Fitzroy North;30
2021;500;Sirius College Broadmeadows Campus;Broadmeadows;31
2021;501;Sirius College Dandenong Campus;Keysborough;29
2021;502;Sirius College Meadow Fair Campus;Broadmeadows;31
2021;503;Somerville Secondary College;Somerville;27
2021;504;South Oakleigh Secondary College;Oakleigh South;28
2021;505;South West Institute of TAFE;Warrnambool;0
2021;506;Southern Cross Grammar;Caroline Springs;31
2021;507;Springside West Secondary College;Fraser Rise;28
2021;508;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2021;509;St Albans Secondary College;St Albans;30
2021;510;St Aloysius College;North Melbourne;32
2021;511;St Andrews Christian College;Wantirna South;33
2021;512;St Arnaud Secondary College;St Arnaud;28
2021;513;St Augustines College;Kyabram;26
2021;514;St Bedes College;Mentone;30
2021;515;St Bernards College;Essendon;30
2021;516;St Brigids College;Horsham;28
2021;517;St Catherines School;Toorak;37
2021;518;St Columbas College;Essendon;32
2021;519;St Francis Xavier College;Beaconsfield;29
2021;520;St Helena Secondary College;Eltham North;29
2021;521;St Johns Greek Orthodox College;Preston;29
2021;522;St Johns Regional College;Dandenong;26
2021;523;St Josephs College Echuca;Echuca;28
2021;524;St Josephs College Ferntree Gully;Ferntree Gully;31
2021;525;St Josephs College Geelong;Newtown;31
2021;526;St Josephs College Mildura;Mildura;28
2021;527;St Kevins College;Toorak;35
2021;528;St Leonards College;Brighton East;34
2021;529;St Margarets Berwick Grammar Berwick Campus;Berwick;34
2021;530;St Margarets Berwick Grammar Officer Campus;Officer;30
2021;531;St Mary MacKillop College;Swan Hill;28
2021;532;St Mary of the Angels College;Nathalia;27
2021;533;St Marys College Melbourne;St Kilda East;29
2021;534;St Marys Coptic Orthodox College;Coolaroo;28
2021;535;St Michaels Grammar School;St Kilda;34
2021;536;St Monicas College;Epping;29
2021;537;St Patricks College;Ballarat;28
2021;538;St Pauls Anglican Grammar School;Warragul;31
2021;539;St Peters College;Cranbourne;25
2021;540;St Thomas Aquinas College;Tynong;28
2021;541;Star of the Sea College;Brighton;33
2021;542;Staughton College;Melton South;26
2021;543;Stawell Secondary College;Stawell;24
2021;544;Stonnington School of Dance;Murrumbeena;N/A
2021;545;Stotts Colleges Melbourne;Melbourne;21
2021;546;Strathcona Girls Grammar School;Canterbury;35
2021;547;Strathmore Secondary College;Strathmore;30
2021;548;Sunbury College;Sunbury;26
2021;549;Sunbury Downs Secondary College;Sunbury;30
2021;550;Sunraysia Institute of TAFE;Mildura;0
2021;551;Sunshine College;Sunshine West;27
2021;552;Surf Coast Secondary College;Torquay;27
2021;553;Suzanne Cory High School;Werribee;34
2021;554;Swan Hill College;Swan Hill;26
2021;555;Swifts Creek P-12 School;Swifts Creek;30
2021;556;Swinburne Senior Secondary College;Hawthorn;28
2021;557;Swinburne University of Technology TAFE Croydon;Croydon;25
2021;558;Sydney Road Community School;Brunswick;27
2021;559;TAFE Gippsland;Morwell;30
2021;560;Tallangatta Secondary College;Tallangatta;26
2021;561;Tarneit Senior College;Tarneit;24
2021;562;Taylors Lakes Secondary College;Taylors Lakes;26
2021;563;Templestowe College;Templestowe Lower;30
2021;564;Terang College Secondary Campus;Terang;26
2021;565;The Geelong College;Newtown;33
2021;566;The Grange P-12 College;Hoppers Crossing;22
2021;567;The Hamilton and Alexandra College;Hamilton;31
2021;568;The King David School;Armadale;36
2021;569;The Knox School;Wantirna South;33
2021;570;The Lakes South Morang College;South Morang;0
2021;571;The Pushkin Lyceum Russian Community School;Elwood;N/A
2021;572;Thomas Carr College;Tarneit;27
2021;573;Thomas Carr College Hailiang Foreign Language School;Zhejiang, China;N/A
2021;574;Thomas Carr College Wenzhou No 21 Middle School;Wenzhou, China;N/A
2021;575;Thomastown Secondary College;Thomastown;26
2021;576;Thornbury High School;Thornbury;29
2021;577;Timboon P-12 School;Timboon;28
2021;578;Tintern Grammar;Ringwood East;30
2021;579;Toorak College;Mount Eliza;34
2021;580;Trafalgar High School;Trafalgar;28
2021;581;Traralgon College;Traralgon;27
2021;582;Trinity College;Colac;29
2021;583;Trinity Grammar School;Kew;34
2021;584;Tyrrell College;Sea Lake;30
2021;585;University High School;Parkville;31
2021;586;Upper Yarra Secondary College;Yarra Junction;25
2021;587;Upwey High School;Upwey;27
2021;588;Vermont Secondary College;Vermont;31
2021;589;Victoria University Polytechnic;Footscray;20
2021;590;Victoria University Secondary College Brimbank Campus;St Albans;28
2021;591;Victorian College for the Deaf;Melbourne;35
2021;592;Victorian College of the Arts Secondary School;Southbank;33
2021;593;Victorian Tamil Association;Glen Waverley;N/A
2021;594;Victorian Virtual Learning Network;Bendigo;N/A
2021;595;Victory Christian College;Strathdale;28
2021;596;Victory Lutheran College;Wodonga;30
2021;597;Viewbank College;Viewbank;30
2021;598;Virtual School Victoria;Thornbury;28
2021;599;VSL Altona North-Footscray-Sunshine-Ballarat;Thornbury;N/A
2021;600;VSL Box Hill-Blackburn-Doncaster;Thornbury;N/A
2021;601;VSL Creekside-Melton;Thornbury;N/A
2021;602;VSL Croydon-Shepparton-Bendigo-Warrnambool;Thornbury;N/A
2021;603;VSL Dandenong-Hampton Park-Berwick;Thornbury;N/A
2021;604;VSL Distance Education;Thornbury;N/A
2021;605;VSL Glen Waverley-Carwatha-Mildura;Thornbury;N/A
2021;606;VSL Keilor Downs-Craigieburn-Taylors Lakes;Thornbury;N/A
2021;607;VSL North Geelong-Matthew Flinders-Werribee-Point Cook;Thornbury;N/A
2021;608;VSL Thomastown-Lalor-Roxburgh Park-Epping;Thornbury;N/A
2021;609;VSL Traralgon-Brentwood-Haileybury-Mentone;Thornbury;N/A
2021;610;VSL University-Brunswick-Collingwood;Thornbury;N/A
2021;611;VSL Westall-South Oakleigh-McKinnon;Thornbury;N/A
2021;612;Wallan Secondary College;Wallan;24
2021;613;Wangaratta High School;Wangaratta;28
2021;614;Wantirna College;Wantirna;28
2021;615;Warracknabeal Secondary College;Warracknabeal;28
2021;616;Warragul Regional College;Warragul;25
2021;617;Warrandyte High School;Warrandyte;25
2021;618;Warrnambool College;Warrnambool;27
2021;619;Waverley Christian College Wantirna South;Wantirna South;33
2021;620;Wedderburn College;Wedderburn;29
2021;621;Wellington Secondary College;Mulgrave;28
2021;622;Werribee Secondary College;Werribee;29
2021;623;Wesley College Glen Waverley;Glen Waverley;31
2021;624;Wesley College St Kilda Rd;Melbourne;32
2021;625;Westall Secondary College;Clayton South;27
2021;626;Westbourne Grammar School;Truganina;33
2021;627;Western Chinese Language School Braybrook;Braybrook;N/A
2021;628;Western Heights College;Hamlyn Heights;24
2021;629;Western Port Secondary College;Hastings;24
2021;630;Wheelers Hill Secondary College;Wheelers Hill;28
2021;631;Whitefriars College;Donvale;31
2021;632;Whittlesea Secondary College;Whittlesea;25
2021;633;William Angliss Institute of TAFE;Melbourne;0
2021;634;William Ruthven Secondary College;Reservoir;27
2021;635;Williamstown High School;Williamstown;32
2021;636;Wodonga Institute of TAFE;West Wodonga;0
2021;637;Wodonga Senior Secondary College;Wodonga;24
2021;638;Wonthaggi Secondary College;Wonthaggi;27
2021;639;Woodleigh School;Langwarrin South;32
2021;640;Woodmans Hill Secondary College;Ballarat East;29
2021;641;Wycheproof P-12 College;Wycheproof;33
2021;642;Wyndham Central Secondary College;Werribee;25
2021;643;Wyndham Community and Education Centre;Werribee;0
2021;644;Xavier College;Kew;33
2021;645;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2021;646;Yarra Hills Secondary College Mooroolbark;Mooroolbark;25
2021;647;Yarra Valley Grammar School;Ringwood;34
2021;648;Yarram Secondary College;Yarram;26
2021;649;Yarrawonga College P-12;Yarrawonga;27
2021;650;Yea High School;Yea;26
2021;651;Yeshivah College;St Kilda East;35
2021;652;Yesodei Hatorah College Secondary Campus;Ormond;31
2021;653;Youth2industry College;South Melbourne;0
2021;654;Yuille Park Community College;Wendouree;0
2022;1;Academy of Mary Immaculate;Fitzroy;32
2022;2;Adass Israel School Elsternwick;Elsternwick;0
2022;3;Adass Israel School St Kilda East;St Kilda East;0
2022;4;Advance College of Education;Rosebud;0
2022;5;Aitken College;Greenvale;28
2022;6;Al Iman College;Melton South;25
2022;7;Al Siraat College;Epping;32
2022;8;Al-Taqwa College Islamic Schools of Vic;Truganina;30
2022;9;Albert Park College;Albert Park;32
2022;10;Albury Wodonga Community College;Wodonga;0
2022;11;Alexandra Secondary College;Alexandra;26
2022;12;Alia College;Hawthorn East;25
2022;13;Alice Miller School Macedon;Macedon;31
2022;14;Alkira Secondary College;Cranbourne North;29
2022;15;Alphington Grammar School;Alphington;32
2022;16;Altona College;Altona;24
2022;17;Antonine College Senior Campus;Pascoe Vale South;25
2022;18;Apollo Bay P-12 College;Apollo Bay;30
2022;19;Aquinas College;Ringwood;30
2022;20;Ararat College;Ararat;25
2022;21;Armstrong Creek School;Armstrong Creek;0
2022;22;Ashwood High School;Ashwood;30
2022;23;Assumption College;Kilmore;27
2022;24;Auburn High School;Hawthorn East;31
2022;25;Australian International Academy Caroline Springs;Caroline Springs;24
2022;26;Australian International Academy Coburg;North Coburg;23
2022;27;Ave Maria College;Aberfeldie;30
2022;28;Avila College;Mount Waverley;31
2022;29;Bacchus Marsh College;Bacchus Marsh;24
2022;30;Bacchus Marsh Grammar;Bacchus Marsh;31
2022;31;Baimbridge College;Hamilton;25
2022;32;Bairnsdale Secondary College;Bairnsdale;26
2022;33;Balcombe Grammar School;Mount Martha;32
2022;34;Ballarat Christian College;Sebastopol;25
2022;35;Ballarat Clarendon College;Ballarat;38
2022;36;Ballarat Grammar School;Wendouree;31
2022;37;Ballarat High School;Ballarat;29
2022;38;Balmoral Community College;Balmoral;0
2022;39;Balwyn High School;Balwyn North;32
2022;40;Bannockburn P-12 College;Bannockburn;25
2022;41;Bass Coast College;Wonthaggi;27
2022;42;Bayside Christian College;Langwarrin South;30
2022;43;Bayside College Paisley Campus;Newport;29
